1,1,9.99000999000999E-4,AgentI@2,(Offer  bid:Bid[Atmosphere: Hospitality, Amusement: Nightlife and entertainment, Culinary: Local cuisine, Shopping: Small boutiques, Culture: Theater, Sport: Bike tours, Environment: Monuments])
1,2,9.99000999000999E-4,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@3,(Offer  bid:Bid[Atmosphere: Turistic activities, Amusement: Nightlife and entertainment, Culinary: International cuisine, Shopping: Markets, Culture: Cinema, Sport: Bike tours, Environment: Square])
2,1,0.001998001998001998,AgentI@2,(Offer  bid:Bid[Atmosphere: Hospitality, Amusement: Nightlife and entertainment, Culinary: Local cuisine, Shopping: Small boutiques, Culture: Theater, Sport: Bike tours, Environment: Monuments])
2,2,0.001998001998001998,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@3,(Offer  bid:Bid[Atmosphere: Turistic activities, Amusement: Nightlife and entertainment, Culinary: International cuisine, Shopping: Markets, Culture: Cinema, Sport: Bike tours, Environment: Square])
3,1,0.002997002997002997,AgentI@2,(Offer  bid:Bid[Atmosphere: Hospitality, Amusement: Zoo, Culinary: Local cuisine, Shopping: Shopping malls, Culture: Art gallery, Sport: Bike tours, Environment: Monuments])
3,2,0.002997002997002997,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@3,(Offer  bid:Bid[Atmosphere: Turistic activities, Amusement: Nightlife and entertainment, Culinary: International cuisine, Shopping: Markets, Culture: Cinema, Sport: Bike tours, Environment: Square])
4,1,0.003996003996003996,AgentI@2,(Offer  bid:Bid[Atmosphere: Hospitality, Amusement: Festivals, Culinary: Local cuisine, Shopping: Markets, Culture: Theater, Sport: Bike tours, Environment: Monuments])
4,2,0.003996003996003996,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@3,(Offer  bid:Bid[Atmosphere: Turistic activities, Amusement: Nightlife and entertainment, Culinary: International cuisine, Shopping: Markets, Culture: Cinema, Sport: Bike tours, Environment: Square])
5,1,0.004995004995004995,AgentI@2,(Offer  bid:Bid[Atmosphere: Hospitality, Amusement: Nightlife and entertainment, Culinary: Local cuisine, Shopping: Small boutiques, Culture: Museum, Sport: Hiking, Environment: Monuments])
5,2,0.004995004995004995,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@3,(Offer  bid:Bid[Atmosphere: Turistic activities, Amusement: Nightlife and entertainment, Culinary: International cuisine, Shopping: Markets, Culture: Cinema, Sport: Bike tours, Environment: Square])
6,1,0.005994005994005994,AgentI@2,(Offer  bid:Bid[Atmosphere: Hospitality, Amusement: Excursion, Culinary: Local cuisine, Shopping: Streets, Culture: Music hall, Sport: Hiking, Environment: Monuments])
