1,1,9.99000999000999E-4,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
1,2,9.99000999000999E-4,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d4])
2,1,0.001998001998001998,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a1, b: b2, c: c4, d: d3])
2,2,0.001998001998001998,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
3,1,0.002997002997002997,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d1])
3,2,0.002997002997002997,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
4,1,0.003996003996003996,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d1])
4,2,0.003996003996003996,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
5,1,0.004995004995004995,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d2])
5,2,0.004995004995004995,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
6,1,0.005994005994005994,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d1])
6,2,0.005994005994005994,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d4])
7,1,0.006993006993006993,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
7,2,0.006993006993006993,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d4])
8,1,0.007992007992007992,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
8,2,0.007992007992007992,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
9,1,0.008991008991008992,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
9,2,0.008991008991008992,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
10,1,0.00999000999000999,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
10,2,0.00999000999000999,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
11,1,0.01098901098901099,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
11,2,0.01098901098901099,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d4])
12,1,0.011988011988011988,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
12,2,0.011988011988011988,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d4])
13,1,0.012987012987012988,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
13,2,0.012987012987012988,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d4])
14,1,0.013986013986013986,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
14,2,0.013986013986013986,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
15,1,0.014985014985014986,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
15,2,0.014985014985014986,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d4])
16,1,0.015984015984015984,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
16,2,0.015984015984015984,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d4])
17,1,0.016983016983016984,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
17,2,0.016983016983016984,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d4])
