1,1,9.99000999000999E-4,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
1,2,9.99000999000999E-4,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
2,1,0.001998001998001998,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
2,2,0.001998001998001998,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
3,1,0.002997002997002997,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
3,2,0.002997002997002997,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
4,1,0.003996003996003996,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
4,2,0.003996003996003996,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
5,1,0.004995004995004995,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
5,2,0.004995004995004995,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
6,1,0.005994005994005994,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
6,2,0.005994005994005994,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
7,1,0.006993006993006993,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
7,2,0.006993006993006993,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
8,1,0.007992007992007992,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
8,2,0.007992007992007992,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
9,1,0.008991008991008992,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
9,2,0.008991008991008992,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
10,1,0.00999000999000999,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
10,2,0.00999000999000999,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
