1,1,9.99000999000999E-4,shimizu_agent@4,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
1,2,9.99000999000999E-4,BoulwareNegotiationParty@5,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f1, g: g1, h: h2])
2,1,0.001998001998001998,shimizu_agent@4,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
2,2,0.001998001998001998,BoulwareNegotiationParty@5,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f1, g: g1, h: h2])
3,1,0.002997002997002997,shimizu_agent@4,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
3,2,0.002997002997002997,BoulwareNegotiationParty@5,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f1, g: g1, h: h2])
4,1,0.003996003996003996,shimizu_agent@4,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
4,2,0.003996003996003996,BoulwareNegotiationParty@5,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f1, g: g1, h: h2])
5,1,0.004995004995004995,shimizu_agent@4,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
5,2,0.004995004995004995,BoulwareNegotiationParty@5,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f1, g: g1, h: h2])
6,1,0.005994005994005994,shimizu_agent@4,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
6,2,0.005994005994005994,BoulwareNegotiationParty@5,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f1, g: g1, h: h2])
7,1,0.006993006993006993,shimizu_agent@4,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
7,2,0.006993006993006993,BoulwareNegotiationParty@5,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f1, g: g1, h: h2])
8,1,0.007992007992007992,shimizu_agent@4,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
8,2,0.007992007992007992,BoulwareNegotiationParty@5,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f1, g: g1, h: h2])
9,1,0.008991008991008992,shimizu_agent@4,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
9,2,0.008991008991008992,BoulwareNegotiationParty@5,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f1, g: g1, h: h2])
10,1,0.00999000999000999,shimizu_agent@4,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
10,2,0.00999000999000999,BoulwareNegotiationParty@5,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f1, g: g1, h: h2])
11,1,0.01098901098901099,shimizu_agent@4,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
11,2,0.01098901098901099,BoulwareNegotiationParty@5,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f1, g: g1, h: h2])
12,1,0.011988011988011988,shimizu_agent@4,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
12,2,0.011988011988011988,BoulwareNegotiationParty@5,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f1, g: g1, h: h2])
13,1,0.012987012987012988,shimizu_agent@4,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
13,2,0.012987012987012988,BoulwareNegotiationParty@5,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f1, g: g1, h: h2])
14,1,0.013986013986013986,shimizu_agent@4,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
14,2,0.013986013986013986,BoulwareNegotiationParty@5,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f1, g: g1, h: h2])
15,1,0.014985014985014986,shimizu_agent@4,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
15,2,0.014985014985014986,BoulwareNegotiationParty@5,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f1, g: g1, h: h2])
16,1,0.015984015984015984,shimizu_agent@4,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
16,2,0.015984015984015984,BoulwareNegotiationParty@5,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f1, g: g1, h: h2])
17,1,0.016983016983016984,shimizu_agent@4,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
17,2,0.016983016983016984,BoulwareNegotiationParty@5,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f1, g: g1, h: h2])
18,1,0.017982017982017984,shimizu_agent@4,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
