1,1,9.99000999000999E-4,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
1,2,9.99000999000999E-4,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
2,1,0.001998001998001998,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
2,2,0.001998001998001998,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
3,1,0.002997002997002997,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
3,2,0.002997002997002997,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
4,1,0.003996003996003996,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
4,2,0.003996003996003996,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
5,1,0.004995004995004995,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
5,2,0.004995004995004995,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
6,1,0.005994005994005994,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
6,2,0.005994005994005994,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
7,1,0.006993006993006993,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
7,2,0.006993006993006993,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
8,1,0.007992007992007992,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
8,2,0.007992007992007992,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
9,1,0.008991008991008992,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
9,2,0.008991008991008992,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
10,1,0.00999000999000999,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
10,2,0.00999000999000999,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
11,1,0.01098901098901099,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
11,2,0.01098901098901099,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
12,1,0.011988011988011988,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
12,2,0.011988011988011988,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
13,1,0.012987012987012988,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
13,2,0.012987012987012988,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
14,1,0.013986013986013986,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
14,2,0.013986013986013986,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
15,1,0.014985014985014986,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
15,2,0.014985014985014986,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
16,1,0.015984015984015984,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
16,2,0.015984015984015984,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
17,1,0.016983016983016984,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
17,2,0.016983016983016984,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
18,1,0.017982017982017984,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
18,2,0.017982017982017984,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
19,1,0.01898101898101898,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
19,2,0.01898101898101898,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
20,1,0.01998001998001998,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
20,2,0.01998001998001998,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
21,1,0.02097902097902098,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
21,2,0.02097902097902098,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
22,1,0.02197802197802198,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
22,2,0.02197802197802198,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
23,1,0.022977022977022976,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
23,2,0.022977022977022976,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
24,1,0.023976023976023976,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
24,2,0.023976023976023976,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
25,1,0.024975024975024976,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
25,2,0.024975024975024976,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
26,1,0.025974025974025976,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
26,2,0.025974025974025976,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
27,1,0.026973026973026972,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
27,2,0.026973026973026972,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
28,1,0.027972027972027972,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
28,2,0.027972027972027972,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
29,1,0.028971028971028972,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
29,2,0.028971028971028972,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
30,1,0.029970029970029972,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
30,2,0.029970029970029972,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
31,1,0.030969030969030968,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
31,2,0.030969030969030968,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
32,1,0.03196803196803197,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
32,2,0.03196803196803197,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
33,1,0.03296703296703297,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
33,2,0.03296703296703297,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
34,1,0.03396603396603397,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
34,2,0.03396603396603397,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
35,1,0.03496503496503497,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
35,2,0.03496503496503497,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
36,1,0.03596403596403597,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
36,2,0.03596403596403597,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
37,1,0.03696303696303696,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
37,2,0.03696303696303696,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
38,1,0.03796203796203796,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
38,2,0.03796203796203796,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
39,1,0.03896103896103896,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
39,2,0.03896103896103896,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
40,1,0.03996003996003996,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
40,2,0.03996003996003996,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
41,1,0.04095904095904096,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
41,2,0.04095904095904096,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
42,1,0.04195804195804196,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
42,2,0.04195804195804196,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
43,1,0.04295704295704296,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
43,2,0.04295704295704296,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
44,1,0.04395604395604396,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
44,2,0.04395604395604396,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
45,1,0.04495504495504495,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
45,2,0.04495504495504495,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
46,1,0.04595404595404595,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
46,2,0.04595404595404595,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
47,1,0.04695304695304695,shimizu_agent@220,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
47,2,0.04695304695304695,TimeDependentAgent@221,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
