sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.002;3;;1000rounds;Yes;Yes;2;0.71598;0.99817;0.15261;0.20745;1.71415;boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@236;boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@237;1.0;0.7172900136762459;0.9981709240888472;0.7159780357909202;0.9981709240888472;0.7159780357909202;0.0;0.0;0.9981709240888472;0.7159780357909202;Domain16_util5.xml;Domain16_util6.xml
0.003;3;;1000rounds;Yes;Yes;2;0.86851;0.99810;0.00011;0.06666;1.86661;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@238;boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@239;0.9999264291722079;0.8701063541154976;0.9980974878276839;0.868514863543044;0.9980974878276839;0.868514863543044;0.0;0.0;0.9980974878276839;0.868514863543044;Domain16_util5.xml;Domain16_util6.xml
0.004;4;;1000rounds;Yes;Yes;2;0.87539;0.99726;0.00000;0.11128;1.87264;boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@240;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@241;0.8777940838202022;0.9999999999999999;0.8753868573893356;0.9972576410854921;0.8753868573893356;0.9972576410854921;0.0;0.0;0.8753868573893356;0.9972576410854921;Domain16_util5.xml;Domain16_util6.xml
0.309;361;;1000rounds;Yes;Yes;2;0.66295;0.68307;0.00008;0.00008;1.34602;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@242;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@243;0.9217114974712642;0.9496930354266414;0.6629483851989366;0.6830743307402402;0.6629483851989366;0.6830743307402402;0.0;0.0;0.6629483851989366;0.6830743307402402;Domain16_util5.xml;Domain16_util6.xml
0.001;3;;1000rounds;Yes;Yes;2;0.51976;0.99817;0.00000;0.29834;1.51794;boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@244;boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@245;0.5207172353904287;0.9999999999999999;0.519764804038654;0.9981709240888471;0.519764804038654;0.9981709240888471;0.0;0.0;0.519764804038654;0.9981709240888471;Domain16_util4.xml;Domain16_util6.xml
0.003;3;;1000rounds;Yes;Yes;2;0.45980;0.99817;0.06123;0.43815;1.45797;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@246;boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@247;0.9999999999999999;0.46064363246572787;0.9981709240888471;0.4598010802939589;0.9981709240888471;0.4598010802939589;0.0;0.0;0.9981709240888471;0.4598010802939589;Domain16_util4.xml;Domain16_util6.xml
0.002;3;;1000rounds;Yes;Yes;2;0.51976;0.99817;0.00000;0.29834;1.51794;boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@248;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@249;0.5207172353904287;0.9999999999999999;0.519764804038654;0.9981709240888471;0.519764804038654;0.9981709240888471;0.0;0.0;0.519764804038654;0.9981709240888471;Domain16_util4.xml;Domain16_util6.xml
1.434;1001;;1000rounds;No;Yes;1;0.28026;0.28026;0.44625;0.44625;0.00000;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@250;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@251;0.7;0.7;0.2802564224433127;0.2802564224433127;0.0;0.0;0.0;0.0;0.2802564224433127;0.2802564224433127;Domain16_util4.xml;Domain16_util6.xml
0.002;3;;1000rounds;Yes;Yes;2;0.61111;0.99817;0.00000;0.30261;1.60928;boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@252;boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@253;0.6122264263286045;1.0;0.6111066177200357;0.9981709240888472;0.6111066177200357;0.9981709240888472;0.0;0.0;0.6111066177200357;0.9981709240888472;Domain16_util4.xml;Domain16_util5.xml
0.002;3;;1000rounds;Yes;Yes;2;0.59812;0.99817;0.04536;0.26003;1.59629;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@254;boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@255;0.9999999999999999;0.5992117541465983;0.9981709240888471;0.5981157503614092;0.9981709240888471;0.5981157503614092;0.0;0.0;0.9981709240888471;0.5981157503614092;Domain16_util4.xml;Domain16_util5.xml
