sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.637;953;;1000rounds;Yes;No;2;0.79988;0.88288;0.10388;0.20708;1.68276;shimizu_agent@0;shimizu_agent@1;0.8828803797838365;0.7998759290519355;0.8828803797838365;0.7998759290519355;0.8828803797838365;0.7998759290519355;0.0;0.0;0.8828803797838365;0.7998759290519355;Symposium-Profile2.xml;Symposium-Profile9.xml
0.607;956;;1000rounds;Yes;No;2;0.79988;0.86975;0.12257;0.20636;1.66963;shimizu_agent@2;shimizu_agent@3;0.8697539978942583;0.7998759290519355;0.8697539978942583;0.7998759290519355;0.8697539978942583;0.7998759290519355;0.0;0.0;0.8697539978942583;0.7998759290519355;Symposium-Profile1.xml;Symposium-Profile9.xml
0.212;363;;1000rounds;Yes;No;2;0.74173;0.99377;0.00623;0.26460;1.73550;shimizu_agent@4;TitForTatAgent@5;0.9937666039942015;0.7417317726513817;0.9937666039942015;0.7417317726513817;0.9937666039942015;0.0;0.0;0.0;0.9937666039942015;0.7417317726513817;Symposium-Profile2.xml;Symposium-Profile9.xml
0.328;665;;1000rounds;Yes;No;2;0.92015;0.99999;0.00000;0.00000;1.92013;shimizu_agent@6;TitForTatAgent@7;0.9201481561113308;0.9999852288240667;0.9201481561113308;0.9999852288240667;0.9201481561113308;0.0;0.0;0.0;0.9201481561113308;0.9999852288240667;Symposium-Profile1.xml;Symposium-Profile9.xml
0.196;358;;1000rounds;Yes;No;2;0.74173;1.00000;0.00000;0.26602;1.74173;shimizu_agent@8;TimeDependentAgent@9;1.0;0.7417349594484387;1.0;0.7417349594484387;1.0;0.0;0.0;0.0;1.0;0.7417349594484387;Symposium-Profile2.xml;Symposium-Profile9.xml
0.196;358;;1000rounds;Yes;No;2;0.74173;1.00000;0.00000;0.27031;1.74173;shimizu_agent@10;TimeDependentAgent@11;1.0;0.7417349594484387;1.0;0.7417349594484387;1.0;0.0;0.0;0.0;1.0;0.7417349594484387;Symposium-Profile1.xml;Symposium-Profile9.xml
0.444;995;;1000rounds;Yes;No;2;0.86761;0.91112;0.09647;0.11224;1.77873;shimizu_agent@12;RandomAgent@13;0.8676126227818093;0.9111191602296781;0.8676126227818093;0.9111191602296781;0.8676126227818093;0.0;0.0;0.0;0.8676126227818093;0.9111191602296781;Symposium-Profile2.xml;Symposium-Profile9.xml
0.449;953;;1000rounds;Yes;No;2;0.89608;0.91111;0.08889;0.09207;1.80719;shimizu_agent@14;RandomAgent@15;0.8960798464351153;0.9111146619935032;0.8960798464351153;0.9111146619935032;0.8960798464351153;0.0;0.0;0.0;0.8960798464351153;0.9111146619935032;Symposium-Profile1.xml;Symposium-Profile9.xml
0.442;955;;1000rounds;Yes;No;2;0.82782;0.86611;0.13412;0.18588;1.69393;shimizu_agent@16;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@17;0.8661120114194656;0.827815195776591;0.8661120114194656;0.827815195776591;0.8661120114194656;0.827815195776591;0.0;0.0;0.8661120114194656;0.827815195776591;Symposium-Profile2.xml;Symposium-Profile9.xml
0.385;959;;1000rounds;Yes;No;2;0.82782;0.83429;0.16722;0.19239;1.66211;shimizu_agent@18;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@19;0.8342940378464545;0.827815195776591;0.8342940378464545;0.827815195776591;0.8342940378464545;0.827815195776591;0.0;0.0;0.8342940378464545;0.827815195776591;Symposium-Profile1.xml;Symposium-Profile9.xml
