sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.219;353;;1000rounds;Yes;Yes;2;0.62853;0.69154;0.00000;0.00000;1.32007;shimizu_agent@56;TitForTatAgent@57;0.8824121625110543;0.8020154681025256;0.6915359843073511;0.6285300449460351;0.6915359843073511;0.0;0.0;0.0;0.6915359843073511;0.6285300449460351;Travel-C-prof1.xml;Travel-C-prof2.xml
0.304;652;;1000rounds;Yes;Yes;2;0.48213;0.89028;0.02974;0.02974;1.37241;shimizu_agent@60;TitForTatAgent@61;0.8902790858809855;0.7567252253539747;0.8902790858809855;0.4821292263755053;0.8902790858809855;0.0;0.0;0.0;0.8902790858809855;0.4821292263755053;Travel-B-prof1.xml;Travel-C-prof2.xml
0.903;617;;1000rounds;Yes;Yes;2;0.44708;0.75020;0.04796;0.07099;1.19728;shimizu_agent@64;TitForTatAgent@65;0.8954941415792244;0.6849053327475814;0.7502005403362764;0.4470759618628985;0.7502005403362764;0.0;0.0;0.0;0.7502005403362764;0.4470759618628985;Travel-A-prof1.xml;Travel-C-prof2.xml
0.202;301;;1000rounds;Yes;Yes;2;0.62140;0.74707;0.00000;0.04267;1.36847;shimizu_agent@68;TimeDependentAgent@69;0.9195578738934735;0.7648790432459178;0.7470682638246283;0.6214039106142945;0.7470682638246283;0.0;0.0;0.0;0.7470682638246283;0.6214039106142945;Travel-C-prof1.xml;Travel-C-prof2.xml
0.231;347;;1000rounds;Yes;Yes;2;0.54197;0.98019;0.00000;0.08526;1.52216;shimizu_agent@72;TimeDependentAgent@73;0.9801853495122493;0.688700166873053;0.9801853495122493;0.5419732628639479;0.9801853495122493;0.0;0.0;0.0;0.9801853495122493;0.5419732628639479;Travel-B-prof1.xml;Travel-C-prof2.xml
0.571;347;;1000rounds;Yes;Yes;2;0.54197;0.88741;0.00000;0.00000;1.42938;shimizu_agent@76;TimeDependentAgent@77;0.9801853495122493;0.688700166873053;0.88740646782261;0.5419732628639479;0.88740646782261;0.0;0.0;0.0;0.88740646782261;0.5419732628639479;Travel-A-prof1.xml;Travel-C-prof2.xml
0.300;406;;1000rounds;Yes;Yes;2;0.60588;0.66662;0.00000;0.00000;1.27250;shimizu_agent@80;RandomAgent@81;0.8824121625110543;0.8020154681025256;0.6666166128468608;0.6058810808725651;0.6666166128468608;0.0;0.0;0.0;0.6666166128468608;0.6058810808725651;Travel-C-prof1.xml;Travel-C-prof2.xml
0.442;654;;1000rounds;Yes;Yes;2;0.51028;0.88241;0.00000;0.04402;1.39269;shimizu_agent@86;RandomAgent@87;0.8824121625110543;0.8020154681025256;0.8824121625110543;0.5102776343227268;0.8824121625110543;0.0;0.0;0.0;0.8824121625110543;0.5102776343227268;Travel-B-prof1.xml;Travel-C-prof2.xml
0.548;911;;1000rounds;Yes;Yes;2;0.42709;0.58789;0.04424;0.17732;1.01498;shimizu_agent@90;RandomAgent@91;0.7636150819066964;0.8020154681025256;0.5878869608344387;0.4270897139478077;0.5878869608344387;0.0;0.0;0.0;0.5878869608344387;0.4270897139478077;Travel-A-prof1.xml;Travel-C-prof2.xml
0.637;927;;1000rounds;Yes;Yes;2;0.37425;0.43930;0.00000;0.09204;0.81355;shimizu_agent@96;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@97;0.7106251135607424;0.8341338761961201;0.3742529659005989;0.4392992467720842;0.3742529659005989;0.4392992467720842;0.0;0.0;0.3742529659005989;0.4392992467720842;Travel-C-prof1.xml;Travel-C-prof2.xml
0.806;993;;1000rounds;Yes;Yes;2;0.40351;0.88241;0.00000;0.04158;1.28593;shimizu_agent@100;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@101;0.8824121625110543;0.8020154681025256;0.8824121625110543;0.4035146549236972;0.8824121625110543;0.4035146549236972;0.0;0.0;0.8824121625110543;0.4035146549236972;Travel-B-prof1.xml;Travel-C-prof2.xml
0.541;993;;1000rounds;Yes;Yes;2;0.40351;0.66352;0.00000;0.09304;1.06704;shimizu_agent@102;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@103;0.8824121625110543;0.8020154681025256;0.6635231414020657;0.4035146549236972;0.6635231414020657;0.4035146549236972;0.0;0.0;0.6635231414020657;0.4035146549236972;Travel-A-prof1.xml;Travel-C-prof2.xml
0.181;353;;1000rounds;Yes;Yes;2;0.69154;0.80202;0.00000;0.00000;1.49355;shimizu_agent@104;TitForTatAgent@105;0.8824121625110543;0.8020154681025256;0.6915359843073511;0.8020154681025256;0.6915359843073511;0.0;0.0;0.0;0.6915359843073511;0.8020154681025256;Travel-C-prof1.xml;Travel-B-prof2.xml
0.394;652;;1000rounds;Yes;No;2;0.75673;0.89028;0.03039;0.04597;1.64700;shimizu_agent@106;TitForTatAgent@107;0.8902790858809855;0.7567252253539747;0.8902790858809855;0.7567252253539747;0.8902790858809855;0.0;0.0;0.0;0.8902790858809855;0.7567252253539747;Travel-B-prof1.xml;Travel-B-prof2.xml
0.316;617;;1000rounds;Yes;Yes;2;0.68491;0.75020;0.05711;0.07105;1.43511;shimizu_agent@108;TitForTatAgent@109;0.8954941415792244;0.6849053327475814;0.7502005403362764;0.6849053327475814;0.7502005403362764;0.0;0.0;0.0;0.7502005403362764;0.6849053327475814;Travel-A-prof1.xml;Travel-B-prof2.xml
0.175;323;;1000rounds;Yes;Yes;2;0.72573;0.76412;0.01007;0.04270;1.48985;shimizu_agent@110;TimeDependentAgent@111;0.9070063549788661;0.7641159660228369;0.725730718573086;0.7641159660228369;0.725730718573086;0.0;0.0;0.0;0.725730718573086;0.7641159660228369;Travel-C-prof1.xml;Travel-B-prof2.xml
0.221;418;;1000rounds;Yes;No;2;0.68794;0.96763;0.01257;0.14240;1.65557;shimizu_agent@112;TimeDependentAgent@113;0.9676338305976419;0.6879370896499721;0.9676338305976419;0.6879370896499721;0.9676338305976419;0.0;0.0;0.0;0.9676338305976419;0.6879370896499721;Travel-B-prof1.xml;Travel-B-prof2.xml
0.211;423;;1000rounds;Yes;Yes;2;0.68448;0.84078;0.02777;0.08458;1.52526;shimizu_agent@114;TimeDependentAgent@115;0.9491932562937277;0.6844803202266878;0.8407815415585432;0.6844803202266878;0.8407815415585432;0.0;0.0;0.0;0.8407815415585432;0.6844803202266878;Travel-A-prof1.xml;Travel-B-prof2.xml
0.583;793;;1000rounds;Yes;Yes;2;0.44126;0.80202;0.04438;0.06865;1.24328;shimizu_agent@116;RandomAgent@117;0.7636150819066964;0.8020154681025256;0.4412623955947492;0.8020154681025256;0.4412623955947492;0.0;0.0;0.0;0.4412623955947492;0.8020154681025256;Travel-C-prof1.xml;Travel-B-prof2.xml
0.423;685;;1000rounds;Yes;No;2;0.80202;0.88241;0.00000;0.00000;1.68443;shimizu_agent@118;RandomAgent@119;0.8824121625110543;0.8020154681025256;0.8824121625110543;0.8020154681025256;0.8824121625110543;0.0;0.0;0.0;0.8824121625110543;0.8020154681025256;Travel-B-prof1.xml;Travel-B-prof2.xml
